#SampleID	ERR2219330	ERR2219331	ERR2219332	ERR2219333	ERR2219334	ERR2219335	ERR2219336	ERR2219337	ERR2219338	ERR2219339	ERR2219340	ERR2219341	ERR2219342	ERR2219343	ERR2219344	ERR2219345	ERR2219346	ERR2219347	ERR2219348	ERR2219349	ERR2219350	ERR2219351	ERR2219352
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Crossiella	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia	0	1.0	1.0	2.0	21.0	4.0	0	0	5.0	3.0	3.0	4.0	0	2.0	0	8.0	1.0	2.0	1.0	0	5.0	5.0	4.0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	624.0	478.0	88.0	167.0	69.0	67.0	63.0	39.0	37.0	58.0	83.0	145.0	95.0	65.0	73.0	126.0	24.0	76.0	81.0	32.0	97.0	28.0	28.0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	0	1.0	1.0	1.0	0	3.0	8.0	26.0	4.0	1.0	0	4.0	2.0	4.0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	11.0	16.0	6.0	7.0	12.0	3.0	17.0	11.0	5.0	6.0	4.0	4.0	7.0	5.0	6.0	4.0	4.0	10.0	16.0	4.0	9.0	7.0	15.0
sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	2.0	3.0	1.0	4.0	1.0	2.0	5.0	2.0	5.0	1.0	2.0	1.0	0	0	0	0	164.0	2.0	4.0	0	3.0	1.0	0
